Assessor Parcel Number,Jurisdiction Name,Maxium_density_allowed_(units/Acres),Total Capacity,Parcel_size(Acres),total people per parcel,AIN,CENTER_LAT,CENTER_LON
6254019001,DOWNEY,40.0,6.0,0.21330989454,10.2,6254019001,33.94148811,-118.1317494
6254011014,DOWNEY,40.0,8.0,0.27399411392,13.6,6254011014,33.94125907,-118.132662
6254014002,DOWNEY,40.0,4.0,0.13573745817,6.8,6254014002,33.94339766,-118.1302051
6254014025,DOWNEY,40.0,4.0,0.13234189314,6.8,6254014025,33.94351456,-118.130137
6254011010,DOWNEY,40.0,4.0,0.14366701497,6.8,6254011010,33.94141652,-118.1325399
6254011013,DOWNEY,40.0,13.0,0.44676160965,22.1,6254011013,33.94154647,-118.1329131
6254009900,DOWNEY,75.0,31.0,0.53141423444,58.9,6254009900,33.94154223,-118.134089
6255002032,DOWNEY,75.0,64.0,1.11102503624,121.6,6255002032,33.93852398,-118.1314721
6255002033,DOWNEY,75.0,47.0,0.81573499929,89.3,6255002033,33.93833218,-118.1311098
6255002900,DOWNEY,75.0,38.0,0.66253083244,72.2,6255002900,33.93925284,-118.1321007
6254001901,DOWNEY,75.0,20.0,0.34524305212,38.0,6254001901,33.9422405,-118.1354095
6254001902,DOWNEY,75.0,20.0,0.34518640039,38.0,6254001902,33.94189301,-118.1356783
6255001009,DOWNEY,75.0,39.0,0.67266520623,74.1,6255001009,33.94140838,-118.1365665
6255002011,DOWNEY,75.0,11.0,0.19407749302,20.9,6255002011,33.93959112,-118.1327146
6255002013,DOWNEY,75.0,56.0,0.95771532266,106.4,6255002013,33.93875758,-118.1321638
6255002008,DOWNEY,75.0,13.0,0.21829887202,24.7,6255002008,33.93975156,-118.1330222
6255002009,DOWNEY,75.0,27.0,0.46337298247,51.3,6255002009,33.93940321,-118.1333346
6255003019,DOWNEY,75.0,31.0,0.53568269299,58.9,6255003019,33.94050549,-118.134806
6255001010,DOWNEY,75.0,69.0,1.18879165993,131.1,6255001010,33.94114521,-118.1359929
6255001014,DOWNEY,75.0,47.0,0.80623550473,89.3,6255001014,33.94156448,-118.1373591
6255002034,DOWNEY,75.0,62.0,1.06463716946,117.8,6255002034,33.93810389,-118.1307808
6254020028,DOWNEY,75.0,18.0,0.31807285616,34.2,6254020028,33.94007954,-118.1323897
6255001008,DOWNEY,75.0,10.0,0.17217545251,19.0,6255001008,33.94166165,-118.136617
6255003005,DOWNEY,75.0,8.0,0.14352142564,15.2,6255003005,33.94033193,-118.1343585
6251040003,DOWNEY,75.0,25.0,0.43459695241,47.5,6251040003,33.94241747,-118.1366806
6254001010,DOWNEY,75.0,9.0,0.1585475216,17.099999999999998,6254001010,33.94163504,-118.1351995
6255001011,DOWNEY,75.0,25.0,0.42665396845,47.5,6255001011,33.94089515,-118.1355291
6255003015,DOWNEY,75.0,22.0,0.38694307835,41.8,6255003015,33.94034401,-118.1345524
6251040018,DOWNEY,75.0,9.0,0.160543086,17.099999999999998,6251040018,33.94262995,-118.1370756
6251040019,DOWNEY,75.0,9.0,0.16072032179,17.099999999999998,6251040019,33.94255528,-118.1369373
6254001008,DOWNEY,75.0,10.0,0.17252925699,19.0,6254001008,33.94178115,-118.1354708
