location,industrial,logistics,auto,retail,grocery,office,education,health,restaurants,public sector,entertainment,hotel,others,Latitude,Longitude
"225th Street, New York, New York",294,177,570,239,162,1100,2869,414,577,279,53,51,422,40.8879866,-73.8603882
"231st Street, New York, New York",633,311,711,302,158,1663,3048,664,727,301,80,52,706,40.8789536,-73.904797
"233rd Street, New York, New York",162,121,220,130,107,596,2735,561,317,522,117,2,500,40.8933832,-73.8574009
"238th Street, New York, New York",531,161,456,195,78,1183,753,531,390,93,85,23,535,40.8849733,-73.900691
"23rd Street, New York, New York",4472,2928,417,3041,744,4160,1771,2120,1776,517,966,250,2987,40.7457871,-73.9996118
"25th Avenue, New York, New York",926,2115,276,1568,372,1928,1631,1914,1029,560,131,56,753,40.5976945,-73.9867923
"25th Street, New York, New York",4512,2917,406,3079,705,4057,1824,2066,1627,461,912,270,2847,40.5996428,-73.7617236
"28th Street, New York, New York",4402,2374,402,2866,629,3531,1679,1721,1291,442,783,250,2574,40.7433137,-73.9840753
"30th Avenue, New York, New York",4500,2577,1256,3136,893,7372,2240,5139,3896,453,740,58,2942,40.75343345,-74.00308131
"33rd Street, New York, New York",4576,2633,419,2798,672,3523,1831,1978,1100,455,547,229,2361,40.7484311,-73.9856903
"33rd Street–Rawson Street, New York, New York",11632,6629,1241,3997,803,9821,3372,3736,2877,1124,989,609,3466,40.7446199,-73.9312304
"34th Street–Herald Square, New York, New York",59739,40306,1096,85606,4056,600144,19595,52561,46784,9221,25979,23467,64205,40.749567,-73.98795
"34th Street–Hudson Yards†, New York, New York",36215,25009,1200,61417,2706,297095,10931,20708,29864,3627,18911,13719,40135,40.754533,-73.9990119
"34th Street–Penn Station, New York, New York",4690,2062,286,3165,1329,9488,5699,5475,2770,630,747,226,3335,40.7500792,-73.9913481
"36th Avenue, New York, New York",481,155,233,143,63,966,596,488,349,70,71,26,459,40.655144,-74.003549
"36th Street, New York, New York",3102,2787,353,2843,713,8274,3800,11495,1232,289,345,239,4253,40.655144,-74.003549
"39th Avenue, New York, New York",538,163,471,208,79,1201,1018,564,379,91,89,15,544,40.7526866,-73.9329357
"40th Street–Lowery Street, New York, New York",9422,5343,756,3278,540,5297,2122,3018,1919,4064,326,195,1827,40.7438431,-73.9244296
"47th–50th Streets–Rockefeller Center, New York, New York",4843,2118,373,3153,561,12217,1440,5581,1288,785,496,56,2048,40.758663,-73.981329
"49th Street, New York, New York",3923,3178,571,4069,969,9837,5140,13156,1452,338,481,302,4058,40.759901,-73.984139
"50th Street, New York, New York",3969,3195,581,4078,980,11068,5296,13561,1437,341,476,300,4060,40.753314,-73.964811
"52nd Street, New York, New York",4025,3206,651,4102,1069,11224,5313,13430,1492,342,484,298,4117,40.7598492,-73.9763999
"53rd Street, New York, New York",4036,3209,651,4117,1095,11223,5302,13457,1498,344,486,298,4119,40.7654274,-73.9877173
"55th Street, New York, New York",3821,3033,615,3948,1100,10852,5461,13444,1530,357,483,288,4121,40.7609986,-73.9733102
"57th Street, New York, New York",3380,2433,588,3762,1104,9961,5183,12833,1587,358,477,263,4001,40.7573131,-73.9605439
"57th Street–Seventh Avenue, New York, New York",28580,13255,617,48042,3861,191422,28342,36872,30588,3057,15566,6373,34075,40.7646501,-73.9806228
"59th Street, New York, New York",3153,2066,530,3632,1046,9463,4584,12038,1591,343,417,257,3819,40.7603396,-73.9636948
"59th Street–Columbus Circle, New York, New York",22116,15192,2238,47984,3968,389626,13625,22604,32366,4679,20372,22114,37007,40.7683815,-73.9819162
"61st Street–Woodside, New York, New York",4496,1599,699,2028,948,4233,1980,4136,1933,6278,347,149,1823,40.7456359,-73.9030518
"62nd Street-New Utrecht Avenue, New York, New York",2654,1836,291,2179,720,5521,4647,3412,1444,328,141,202,2116,40.626472,-73.996895
"63rd Drive–Rego Park, New York, New York",957,620,126,4922,538,5140,2062,4890,2735,8889,377,43,1705,40.730043,-73.8616485
"65th Street, New York, New York",16733,9192,1782,40097,4391,308344,14907,29512,26995,4408,19056,17897,34157,40.7723353,-73.978539
"66th Street–Lincoln Center, New York, New York",7039,3718,1912,18380,3209,148580,11231,12255,18064,2273,14092,12823,18410,40.7725333,-73.9822518
"67th Avenue, New York, New York",133,105,310,139,29,526,2560,817,167,659,192,2,651,40.7267968,-73.8532472
"68th Street–Hunter College, New York, New York",12427,5796,430,31681,3542,226262,9957,45260,21532,3061,11439,13717,26774,40.7678782,-73.9641187
"69th Street, New York, New York",2067,1686,1062,2538,1056,7236,3176,6637,2658,728,476,61,2866,40.7690869,-73.9647239
"71st Street, New York, New York",2606,1592,799,2104,889,7639,3487,5289,1591,480,297,258,2217,40.6193283,-73.9989445
"72nd Street, New York, New York",2537,1437,789,2050,863,7477,3301,5672,1638,490,311,258,2039,40.7762402,-73.9760123
"75th Avenue, New York, New York",855,568,69,1278,512,5598,1774,4599,1592,1576,467,195,2002,40.718331,-73.837324
"75th Street–Elderts Lane, New York, New York",1142,861,307,838,666,1942,2234,1826,1137,29,171,24,1116,40.691321,-73.8672547
"77th Street, New York, New York",2183,1231,775,1906,772,4925,2986,3929,1562,455,279,45,1922,40.7736528,-73.9598437
"79th Street, New York, New York",3851,2929,266,12422,3872,31437,11652,26589,13276,1465,10396,2339,15124,40.7838618,-73.9799918
"80th Street, New York, New York",1801,1234,746,1369,788,4201,2427,5309,1544,324,292,58,1857,40.6793809,-73.8589845
"81st Street–Museum of Natural History, New York, New York",5410,1796,142,8011,2675,20704,11015,16335,9283,1048,11121,1322,11398,40.7817835,-73.9719225
"82nd Street–Jackson Heights, New York, New York",2076,2020,788,2340,850,5553,3581,6934,3314,924,312,116,2107,40.7476192,-73.8841432
"85th Street–Forest Parkway, New York, New York",1648,1014,155,1343,561,1668,2126,753,1096,35,90,0,1192,40.6924432,-73.8599369
"86th Street, New York, New York",1459,1277,929,1308,656,4106,2267,8329,1748,397,450,91,1904,40.7883389,-73.9765049
"88th Street, New York, New York",927,748,872,1002,546,4097,1957,8360,1894,425,484,92,1753,40.6798468,-73.8515018
"90th Street–Elmhurst Avenue, New York, New York",2204,1045,502,2909,1094,5400,4016,7373,3638,740,237,74,2133,40.7483933,-73.8767862
"96th Street, New York, New York",540,502,801,732,301,2741,1152,7298,1174,417,439,85,1127,40.7858647,-73.9508992
"96th Street†, New York, New York",5302,1604,187,3733,1765,12357,8066,25050,5858,701,4226,615,7977,40.7858647,-73.9508992
"Alabama Avenue, New York, New York",1991,2058,390,1560,559,2489,1979,3547,1040,630,66,41,1494,40.6768986,-73.8992908
"Allerton Avenue, New York, New York",1505,446,443,932,635,2313,3155,4300,1414,583,465,33,2031,40.8654299,-73.8673652
"Aqueduct Racetrack, New York, New York",1312,674,244,828,340,1606,1426,723,1080,257,1675,308,745,40.6720944,-73.8359383
"Aqueduct–North Conduit Avenue, New York, New York",977,798,267,711,598,1835,2691,2177,1055,529,213,24,1272,40.6683086,-73.8340881
"Astoria Boulevard, New York, New York",4181,3498,630,1873,718,6025,2251,4953,3139,664,525,53,2164,40.7704417,-73.9176868
"Astoria–Ditmars Boulevard†, New York, New York",3159,14291,428,651,255,2673,1445,721,1243,893,162,379,1229,40.7749872,-73.9121176
"Astor Place, New York, New York",19140,8635,532,37072,4520,129078,28932,37688,31540,4154,12056,4386,24900,40.7298838,-73.9915334
"Atlantic Avenue, New York, New York",2268,1632,461,1242,524,2968,3234,3795,1503,1209,188,67,2057,40.6758826,-73.9032829
"Atlantic Avenue–Barclays Center, New York, New York",3270,2166,235,4846,1425,8987,8811,13397,5210,8622,1917,1100,5426,40.6838111,-73.9786613
"Avenue H, New York, New York",1924,1297,954,1807,732,5632,1611,2492,1544,200,130,45,2095,40.7617402,-73.9574946
